GB_ACC,logFC,P.Value,adj.P.Val,direction,Gene_Symbol
NM_016190,-9.4868875059874,4.41673099208987e-15,7.09443910797071e-12,down,CRNN
NM_006061,-8.96319150105841,1.02536759929245e-17,5.59984007001584e-14,down,CRISP3
AL833167,-6.76686948449912,5.2256732240387e-11,6.65244036793532e-09,down,TMPRSS11B
AF268198,-6.50764709118634,1.11113830223725e-07,2.34205311077124e-06,down,SPINK7
NM_002371,-6.47971210561566,7.82255665663488e-11,8.82672079935538e-09,down,MAL
NM_000077,6.30136521841025,8.38192482474899e-12,1.8684165732817e-09,up,CDKN2A
AW001287,-6.27662810761356,7.32332736750153e-15,1.08094291221989e-11,down,FAM3D
NM_006846,-5.99775706880962,4.31494938522049e-14,3.7405131869055e-11,down,SPINK5
NM_006025,-5.89771949554265,4.85510248275154e-09,1.78673660303578e-07,down,ENDOU
NM_012128,-5.87668327888156,3.10125460662733e-11,4.61495416435254e-09,down,CLCA4
AA548647,-5.78401959192007,1.44855247132133e-08,4.31586449079498e-07,down,UPK1A
AI742570,-5.67775862955646,3.66041137939805e-14,3.38823807903502e-11,down,THSD4
NM_005416,-5.65956050039481,2.21558060295358e-09,9.71883562000833e-08,down,SPRR3
AA584310,5.64276525733272,1.99580623145959e-12,6.94013837047762e-10,up,CTHRC1
AI796235,-5.51117427767909,9.1416836610136e-09,2.97707077983861e-07,down,RDH12
NM_000336,-5.49682535692708,3.68895790611558e-19,4.0293011625338e-15,down,SCNN1B
AF193855,5.48329572309789,7.21369701109017e-12,1.65530098683474e-09,up,ZIC2
X07695,-5.46851870730036,7.79670857512694e-08,1.74080803521426e-06,down,KRT4
NM_019060,-5.46849288842546,7.71395119977253e-07,1.20057571066736e-05,down,CRCT1
NM_000114,-5.45121453915634,1.50760739647344e-09,7.17203508219549e-08,down,EDN3
AB048288,-5.37323355730009,4.63608813613291e-06,5.6398848271805e-05,down,LCE3D
AA838075,-5.3371488825067,1.09604091566819e-05,0.000118243605465412,down,PIGR
NM_006121,-5.31997425342174,9.00282146426009e-05,0.000718712306135998,down,KRT1
NM_001062,-5.29356702896727,8.94364149865764e-08,1.95532062916809e-06,down,TCN1
AL161628,5.28821122888918,3.48984829339249e-10,2.48685797086446e-08,up,ELAVL2
NM_000697,-5.28335453575144,9.14956772820552e-09,2.97786258844153e-07,down,ALOX12
AI814274,-5.27382275263895,4.42990322649612e-07,7.50928911021685e-06,down,SBSN
W69083,-5.25484760136505,7.69676709591492e-05,0.000629256798516769,down,KRTDAP
NM_004669,-5.22439824190007,1.05947840929228e-09,5.54758335251002e-08,down,CLIC3
NM_014668,-5.20733435294801,1.33064905700349e-10,1.27512497359186e-08,down,GREB1
N26005,-5.19424153165928,1.80136813046516e-07,3.48481422159526e-06,down,PPP1R3C
M25532,-5.17489577411189,5.34662522936688e-17,2.08568031179581e-13,down,CRISP2
NM_003226,-5.16982255731515,3.37994738024013e-05,0.000310860670725925,down,TFF3
NM_014258,5.08503821467466,3.83085267424222e-11,5.42006106472513e-09,up,SYCP2
BC018787,-5.06628450767662,1.16947767453511e-11,2.33097387734985e-09,down,CYSRT1
AW629527,-5.01988845887403,6.41312664762126e-10,3.88723735412364e-08,down,TPRG1
NM_003890,-4.99791198897847,2.23926926630809e-11,3.7269034459984e-09,down,FCGBP
NM_002426,4.96920920351381,4.37479774828683e-08,1.07091362360909e-06,up,MMP12
NM_006890,-4.95009178920243,2.94227476747791e-07,5.30020267168478e-06,down,CEACAM7
AI559190,-4.9438305157201,5.46289747903941e-11,6.87901981356189e-09,down,ZG16B
NM_019598,-4.93897095362538,1.85529997828873e-08,5.29657593906338e-07,down,KLK12
NM_020427,-4.92914927421903,4.8038927913035e-11,6.32180715690261e-09,down,SLURP1
AB049591,-4.91350141577358,2.56476264632241e-07,4.72250109250189e-06,down,CNFN
NM_003986,-4.90778252743522,8.49104933426119e-11,9.31168026690776e-09,down,BBOX1
AL355392,-4.85534856962975,0.000470585490082968,0.00297110813524869,down,BPIFB1
AL832750,-4.8318593890472,7.8621481921465e-12,1.77427892238718e-09,down,A2ML1
NM_005621,-4.81569138701233,5.51877780656611e-10,3.45638775630728e-08,down,S100A12
NM_000860,-4.81440153436496,2.8368838759786e-10,2.17918011301453e-08,down,HPGD
BG163478,-4.80785906342114,1.00545864150543e-15,2.61481489469221e-12,down,THSD4
NM_024508,-4.805653443109,6.97006358953535e-09,2.40010140488836e-07,down,ZBED2
NM_006853,-4.78971205480678,2.58803248567323e-12,8.36332651716404e-10,down,KLK11
NM_002274,-4.77483738503409,2.78405533585601e-07,5.07156818069061e-06,down,KRT13
BC039109,-4.77417142473312,5.86654993884367e-12,1.44972801724013e-09,down,C1orf177
BC005894,-4.77352926568917,3.12993754103152e-08,8.14753474396351e-07,down,FMO2
NM_016321,-4.75439324677233,3.86858187421093e-09,1.49205410943701e-07,down,RHCG
AI394679,-4.73997468547214,4.12250190153604e-08,1.01874296990311e-06,down,KLK12
NM_152364,-4.72164637015299,1.75556582633141e-07,3.40592243244893e-06,down,RPTN
AW293443,-4.65979262891192,7.21985018102586e-09,2.45974845874214e-07,down,SFTA2
AI927000,-4.64084394109045,8.42207281496064e-09,2.79098703060343e-07,down,SOSTDC1
J05594,-4.60329131474689,2.79281683145418e-10,2.16346249101003e-08,down,HPGD
AF135025,-4.59331722419485,7.46654741489532e-08,1.6850022891309e-06,down,KLK12
NM_004833,4.58980174730933,1.85539170456509e-09,8.46439453275911e-08,up,AIM2
AL360204,-4.56958654606464,3.89622937939617e-22,2.12784775096963e-17,down,NA
AI343467,4.55417273802069,2.31387198461867e-13,1.35879022253741e-10,up,INHBA
AW170323,-4.48297224212589,4.00142735247561e-09,1.53379659499096e-07,down,PRSS27
AI692575,-4.47814965330413,8.08091305999093e-09,2.69592489276289e-07,down,DAPL1
BE501712,-4.46516492698945,9.85357527993187e-05,0.000776639207335719,down,NA
AI697108,-4.43616113655306,0.000141250515805786,0.00106030528406716,down,MUC5B
NM_005547,-4.42752356502279,1.27098134613869e-09,6.37421504257192e-08,down,IVL
AW025687,-4.41029864457343,2.40259552950016e-10,1.94804744494937e-08,down,CYP4F22
BF002195,-4.40442065333083,1.36751783174852e-09,6.66228825560052e-08,down,GALNT5
AB026156,4.39841274846735,8.37348517912147e-13,3.63322247542564e-10,up,TCAM1P
AI539118,-4.39382612569174,4.52633555463199e-12,1.24219479218652e-09,down,RBM20
NM_014392,-4.38214163313212,1.80253270072313e-09,8.28633993136297e-08,down,NSG1
NM_014058,-4.37355933826967,2.42594172435675e-07,4.50179936773005e-06,down,TMPRSS11E
NM_015596,-4.33884359004358,1.47342078331399e-07,2.95837975143849e-06,down,KLK13
NM_014759,-4.33289352522545,9.63912427763369e-18,5.59984007001584e-14,down,PHYHIP
NM_000125,-4.32981005804246,1.07114186005043e-09,5.59792061272095e-08,down,ESR1
NM_001141,-4.31862917380632,1.67319860165396e-08,4.86832153607499e-07,down,ALOX15B
AI985987,-4.31552838220447,8.11568726651025e-15,1.13646674022032e-11,down,SCNN1G
AI867102,4.29106792100619,1.41838355962346e-12,5.53301295297972e-10,up,NUP210
NM_002084,-4.28675985754967,2.16978384281314e-06,2.9229996301814e-05,down,GPX3
AL574184,-4.28206319082725,8.61961777795738e-10,4.78133499425037e-08,down,HPGD
W69365,-4.27878632458636,2.131730528314e-11,3.58215997977885e-09,down,BNIPL
T68445,-4.24490273596331,2.3773770810465e-11,3.85152444018843e-09,down,AR
AW470178,-4.24196607609733,9.74011965171323e-09,3.13272764746181e-07,down,SCEL
AW173504,-4.2159776927853,7.47089698131793e-12,1.70714684870593e-09,down,AR
AB051536,-4.20762203927112,1.52613082777501e-11,2.86414374217445e-09,down,CGNL1
AI758223,-4.20513509280167,1.7726594941894e-06,2.44470335747893e-05,down,FMO2
NM_001942,-4.18079988235305,0.000233480461259949,0.00162807308871164,down,DSG1
AA706316,-4.1633722003744,1.51116975567262e-06,2.13419999654897e-05,down,DMKN
AI767756,4.15165593941085,2.46811534331684e-08,6.64650804953464e-07,up,HS6ST2
NM_000777,-4.14901108902265,1.32178465722975e-10,1.27089129375508e-08,down,CYP3A5
NM_013372,4.13869123113495,1.74818597595715e-10,1.52757889127916e-08,up,GREM1
J02871,-4.12956359092983,5.97722356001346e-06,7.00352092432987e-05,down,CYP4B1
NM_006820,4.12874298880589,2.33573279052066e-06,3.11834730187891e-05,up,IFI44L
BC001745,-4.10827973348284,4.23979128148273e-10,2.86214735791862e-08,down,NSG1
NM_002771,-4.09450181617444,1.56905226373748e-06,2.20681563944102e-05,down,PRSS3
NM_003245,-4.09114805021554,2.17648308282078e-06,2.93057866375965e-05,down,TGM3
NM_003843,-4.08695589534152,3.16884934035125e-07,5.64818436764369e-06,down,SCEL
BF438173,4.08411870359128,6.41818060985695e-09,2.24978239824209e-07,up,FST
NM_004244,4.07352558125688,5.30068271292832e-12,1.34021381944979e-09,up,CD163
NM_001139,-4.06397329040927,3.36750952522991e-05,0.000309925510113551,down,ALOX12B
U64094,-4.0602592481476,1.12074390697305e-05,0.000120486588565983,down,IL1R2
NM_025087,-4.05117104328767,7.65924343151998e-07,1.19308117947975e-05,down,CWH43
AF154054,4.04567508656789,7.50246759587503e-14,5.61277072347292e-11,up,GREM1
AW183154,4.0296245229581,3.43414416117572e-14,3.38823807903502e-11,up,KIF14
NM_001878,-4.0238819818391,1.67473055183283e-11,3.04086505061125e-09,down,CRABP2
NM_004789,4.0137795535106,1.08997359343239e-09,5.66921217696412e-08,up,LHX2
AF007162,-4.00646257310956,5.07675958423535e-07,8.46069793023636e-06,down,CRYAB
NM_004887,-3.98870999728669,4.20068978593761e-08,1.03292332858807e-06,down,CXCL14
AI926697,-3.98111479996587,6.40800620226832e-11,7.62441051687319e-09,down,MYZAP
NM_000359,-3.97293594027549,6.16551072612755e-07,9.95909604513469e-06,down,TGM1
AB059408,-3.96720825040137,4.75960836463902e-09,1.75710234051518e-07,down,HOPX
NM_004262,-3.96653532959789,1.68271740242113e-07,3.28560048260369e-06,down,TMPRSS11D
NM_001323,-3.95346656068541,3.09912156731149e-07,5.54743776321149e-06,down,CST6
AK001261,3.94521096456989,4.84777874944723e-14,4.13674595068065e-11,up,DTL
W79394,3.92506689232305,3.054000705936e-14,3.14694604817514e-11,up,APOC1
NM_004503,3.91990157377358,1.28634501805286e-08,3.92399709698317e-07,up,HOXC6
Z98443,3.90745964937555,8.3249511282716e-05,0.000672261653065647,up,WDR72
NM_005987,-3.90529431501633,4.02781440900933e-07,6.93477390665909e-06,down,SPRR1A
AL356504,-3.90200819859822,4.51622739422518e-05,0.000399554068817139,down,FLG
NM_004633,-3.87980560598991,5.02411571098144e-08,1.20607486296189e-06,down,IL1R2
NM_001216,3.87816549180896,8.60028511747291e-13,3.69832575685471e-10,up,CA9
AI073407,-3.86547082347024,4.49190370808081e-07,7.60199371581708e-06,down,TF
NM_147174,3.85355548635891,6.44382829951987e-07,1.03110692915816e-05,up,HS6ST2
NM_005564,-3.84438237493621,2.49573892222583e-09,1.06567466582892e-07,down,LCN2
NM_030761,-3.83091492835896,1.22075312679203e-08,3.75128203847098e-07,down,WNT4
NM_025087,-3.82783070199875,7.48999811856264e-08,1.68820168076377e-06,down,CWH43
S70004,-3.8030003328684,1.34385095772921e-07,2.74259089515939e-06,down,GYS2
NM_000584,3.78873061249563,5.22080550968533e-06,6.23630470910859e-05,up,CXCL8
AI479175,3.78755931565546,2.24888041699413e-08,6.17109905463171e-07,up,SULF1
NM_004605,-3.78363927682366,1.23494225193582e-11,2.43479787743577e-09,down,SULT2B1
AA149736,3.78058033907259,9.7673282553243e-12,2.06753138762801e-09,up,CTA-384D8.35
NM_022443,3.7510818262646,1.60060008714341e-10,1.43300938621579e-08,up,MLF1
NM_004209,3.74839145042248,9.85884230130341e-09,3.1616027868531e-07,up,SYNGR3
AI570450,3.74555831409835,1.8970469592175e-06,2.59332729871703e-05,up,ABCA17P
W79425,-3.74113159157288,1.84639806956294e-06,2.53296502821001e-05,down,VSIG10L
BF478120,-3.74043681846304,7.00628755989316e-13,3.21541497906256e-10,down,SMIM5
AI694073,-3.73848008075591,1.14502830318989e-05,0.000122758992387337,down,GJB6
M83248,3.72552227369968,1.50711480788225e-06,2.12957467019077e-05,up,SPP1
X02761,3.72118856660575,4.79558152864696e-08,1.15936739275784e-06,up,FN1
AI819863,-3.71411445161756,7.99804395476527e-07,1.23738576346061e-05,down,DSC2
NM_014125,3.70555990580278,1.22609408444325e-13,8.57797930816423e-11,up,POLQ
AI700341,-3.69225998439612,1.89988405685147e-08,5.39565096187359e-07,down,SAMD5
AW080549,-3.68930675313663,3.79086516334955e-15,6.59227537835488e-12,down,FUT3
NM_000343,-3.67858829337542,5.04740881789481e-12,1.30571068010304e-09,down,SLC5A1
AK023669,3.65645248041429,1.53972584208919e-16,5.60593649426778e-13,up,CENPN
AI885390,-3.65458462521019,1.25029480170093e-09,6.30492613160602e-08,down,CSTB
BI905836,3.63112014697679,2.48237554236557e-11,3.95730118964744e-09,up,TSEN54
AI923984,-3.6269756730872,1.33359336557954e-05,0.000140006794452894,down,SPRR1A
BF588953,-3.61958092023722,1.1152875888796e-09,5.76115118670898e-08,down,KRT4
AW242836,-3.61707656852856,2.82196526584709e-08,7.45602269297084e-07,down,TMEM45B
AW517716,-3.61480726065955,1.24583858600898e-05,0.00013208888118367,down,C1orf186
AL137566,-3.61240731522238,3.5633064424171e-06,4.47260066053149e-05,down,PGR
AV724216,-3.612326120887,8.00665186656251e-11,8.96039504894628e-09,down,NDRG4
AL703282,-3.60187018327233,2.33917917308084e-06,3.12041016559511e-05,down,GBP6
AA669336,3.59390167705297,1.69777885069465e-08,4.91626703992507e-07,up,COCH
NM_024861,-3.58409077512398,2.99502483408444e-15,5.64025142289151e-12,down,C2orf54
NM_002416,3.58022026112983,9.5796952815362e-05,0.000757128651824221,up,CXCL9
NM_005084,3.57788719407566,5.02762424332416e-12,1.30571068010304e-09,up,PLA2G7
NM_001432,-3.57727406897135,2.01407620813101e-06,2.73618766056365e-05,down,EREG
AI697028,-3.57521494907883,2.01294551133038e-12,6.94013837047762e-10,down,GGT6
BQ277407,-3.57265100692155,3.40979611921471e-09,1.34868191932485e-07,down,TMEM184A
BG401568,-3.5644393218226,8.10419341752741e-10,4.59954304443336e-08,down,SLC16A9
NM_001647,-3.55624466570522,8.81029171030503e-10,4.8740293656373e-08,down,APOD
AL137581,-3.55621746390062,1.59917787001662e-09,7.53545306429831e-08,down,SPAG17
AI631846,3.55539594865922,3.80002970502917e-06,4.74248222762244e-05,up,KLHDC7B
AV741130,-3.54933702080823,1.58093755750224e-13,1.01432001350387e-10,down,TTC22
NM_019016,-3.54736448390495,0.00104133362499864,0.00583405347374342,down,KRT24
NM_000423,-3.54603757793838,1.2927194429619e-05,0.000136239457619603,down,KRT2
NM_003536,3.53496026890332,3.44645861176211e-11,5.05971624097215e-09,up,HIST1H3A
NM_017434,-3.52343419476051,3.55758488872597e-16,1.07939101959995e-12,down,DUOX1
NM_003125,-3.52091865543931,3.51688890330402e-06,4.42960917149775e-05,down,SPRR1B
AK026652,-3.5170152839701,2.32869959838182e-07,4.34794089457868e-06,down,PADI1
AW138350,-3.5063133432461,4.96585323407742e-08,1.19418821079996e-06,down,NIPAL4
NM_004994,3.49252864811463,1.18929924744752e-06,1.74272068153613e-05,up,MMP9
NM_004245,-3.49200813794987,6.45810415255314e-08,1.48817064170205e-06,down,TGM5
NM_014109,3.49186261481259,2.48236059710165e-13,1.43456684672511e-10,up,ATAD2
BC017854,-3.48637010243968,2.41746726352023e-09,1.03793348791376e-07,down,EMP1
NM_013409,3.48406009163137,2.11861957280395e-10,1.77460384554512e-08,up,FST
NM_002564,-3.48364990403385,7.36860788058515e-13,3.32579985274708e-10,down,P2RY2
BC003179,-3.47958264302121,3.92358171223723e-12,1.13929499540272e-09,down,MALL
BC032306,-3.47631352377121,7.86942076629409e-08,1.75560733786609e-06,down,LYNX1
H09620,-3.47527127155227,8.28654585717045e-11,9.14248745247778e-09,down,FLG-AS1
NM_002407,-3.46819833103976,0.00292775783752317,0.013747196180952,ns,SCGB2A1
NM_000772,-3.46593863735528,4.36362175623819e-07,7.42169028257354e-06,down,CYP2C18
NM_007196,-3.46211921369629,2.46703580288034e-08,6.64650804953464e-07,down,KLK8
AK026197,3.45877871005492,2.16270949770398e-13,1.29793465712206e-10,up,FBXO5
BF575466,-3.45080364552623,0.000233969426933189,0.00163085798508006,down,SPRR3
W93847,-3.44867507625661,3.5566951236462e-06,4.46841018605221e-05,down,MUC15
NM_001584,-3.44759607975047,7.54142769110941e-06,8.56257776495963e-05,down,MPPED2
AA632139,3.4428910063324,9.24753035391067e-06,0.000102233881623102,up,ANKRD36BP2
BC002710,-3.43304090509841,7.09343840189863e-07,1.11576598917883e-05,down,KLK10
AI806338,-3.41840597667211,5.17180339351431e-13,2.5999647882041e-10,down,TBX3
AA553959,-3.40751342112635,2.43237717802741e-07,4.51220838395417e-06,down,C10orf99
BC002631,-3.40133892353521,2.37747451291579e-08,6.45900525459959e-07,down,MMP28
H07885,-3.40096666854278,1.16306947905214e-10,1.17409821551708e-08,down,AGFG2
NM_001557,-3.39277434496703,1.97245063076049e-10,1.68581658946698e-08,down,CXCR2
M13436,3.38836408154804,1.22646102507478e-10,1.20993738229552e-08,up,INHBA
NM_018518,3.38813154638695,9.45375195901254e-12,2.04880061800616e-09,up,MCM10
NM_002774,-3.38516022669731,5.56725937847038e-05,0.000477082592870552,down,KLK6
AI083557,-3.38114424819839,3.39239492540287e-05,0.000311742998588301,down,LOC100130476
BC005858,3.37852610888369,6.96692431705872e-08,1.58667488626992e-06,up,FN1
AL359062,3.37504619348386,2.10129457333007e-07,3.97774698555547e-06,up,COL8A1
BG231961,3.37386890972191,2.64232491039923e-10,2.07932695002354e-08,up,MIR155
NM_024302,-3.36667252207869,2.88434788778599e-09,1.18349279636106e-07,down,MMP28
AI963605,-3.36667073901949,3.79282255053039e-08,9.50914298972066e-07,down,B3GALT5
AK026045,-3.35880278815499,6.46496688188577e-06,7.48190795338901e-05,down,KLK10
NM_014479,3.35840674854924,2.32436177181919e-08,6.35019356900256e-07,up,ADAMDEC1
BC008840,-3.34837760461956,6.94741598485858e-15,1.05394230328078e-11,down,THSD4
M86849,-3.34690300597187,3.05031048940458e-08,7.96683915628179e-07,down,GJB2
AI569476,-3.34592808226707,5.11811956165026e-12,1.31228104986106e-09,down,MAML3
NM_001785,-3.34343855159459,2.93691269974506e-07,5.29351858980783e-06,down,CDA
NM_001645,3.34098982699916,2.91026419362531e-11,4.44711909836758e-09,up,APOC1
AW511401,-3.32949433136863,3.96434214922586e-11,5.5656714086291e-09,down,ANKRD35
Y11339,-3.32624656013719,7.89884599825378e-08,1.76073337348014e-06,down,ST6GALNAC1
NM_021992,3.32619421608738,4.15855370356049e-06,5.13477489062965e-05,up,TMSB15A
AL832737,-3.3257028686689,1.90182608995605e-06,2.59855962598874e-05,down,LOC441178
M85256,3.32205562893034,0.000289750930482602,0.00196249503585816,up,IGKV1-17
AI858001,-3.3209503220127,3.13184099469156e-10,2.30822175766654e-08,down,CITED4
NM_000492,-3.31810113514942,0.00020085275921782,0.00143188990917185,down,CFTR
AI242408,-3.30952745303032,1.50845513064432e-08,4.46995442484419e-07,down,ZNF300P1
AI087937,-3.30232578638411,1.7860730306085e-09,8.23841270444441e-08,down,TMEM40
NM_152367,-3.29910005522787,6.14170416731936e-08,1.42669880769805e-06,down,MAB21L3
NM_022112,-3.29548740752418,8.68251276838844e-07,1.32488982905839e-05,down,TP53AIP1
BF592752,-3.29171165387393,1.42568004835949e-10,1.33024002799961e-08,down,ACPP
AI582773,3.2905119380758,7.33310552763688e-07,1.14784434560285e-05,up,NA
NM_001562,-3.28905288521233,9.39938853944638e-10,5.08246342876025e-08,down,IL18
AW007273,-3.28890856110515,3.96887497242402e-06,4.93403525765975e-05,down,PRSS3
NM_020299,-3.28712326389863,6.08816976207127e-07,9.86041563511264e-06,down,AKR1B10
V00489,-3.28598781523024,7.17393125538022e-07,1.1258859040258e-05,down,HBA1
D42046,3.28095147519271,3.96982473833865e-17,1.66772337257607e-13,up,DNA2
AW149846,-3.28021750378139,8.57040539858129e-07,1.31034588475006e-05,down,GPX3
NM_004751,-3.27318367794178,4.22680972299509e-06,5.19790045939948e-05,down,GCNT3
AB051545,-3.27279582185668,1.09532781197412e-14,1.32931417322983e-11,down,CTTNBP2
AI277015,-3.2726544551091,1.03153695116037e-05,0.000112266495643127,down,HOXB8
NM_006017,-3.27181374999121,0.000667335899526387,0.00399881670845234,down,PROM1
AW139399,-3.27064542570862,1.93134611405152e-13,1.19859778780336e-10,down,CCDC64B
NM_001063,-3.26867441826795,5.09989465314919e-05,0.000442798961355226,down,TF
BC001338,-3.26500622894434,1.31054059251248e-11,2.54706595654392e-09,down,RHOD
AF133207,-3.26256472715509,8.69002752228722e-08,1.91443514753801e-06,down,HSPB8
CA431092,-3.25301044039518,1.56572432945487e-20,4.27544514022593e-16,down,RAB11B-AS1
AF233336,-3.24634062969764,6.09616159008495e-12,1.48629318267549e-09,down,EPHX2
AL133260,3.24478902834789,2.65703626729646e-09,1.11140128975597e-07,up,LOC100996643
AA742310,3.2417665588331,1.45173366801968e-07,2.92316620882531e-06,up,NA
NM_144583,-3.23915143640063,1.56971991479375e-07,3.10492986985262e-06,down,ATP6V1C2
BF106962,-3.23783717034063,1.18406215155576e-06,1.73627131451469e-05,down,FAM3B
NM_001935,-3.23704770485282,6.03466191682746e-11,7.32379980585996e-09,down,DPP4
AA557324,-3.23647612226404,8.78001411532756e-09,2.88857175229147e-07,down,CYP4X1
AJ278112,3.23227894598712,1.50023261673158e-12,5.76987351391279e-10,up,DEPDC1
BF059556,3.228943113262,1.83005779518647e-16,6.24655914803242e-13,up,C18orf54
AF144103,-3.22335263056224,6.2127785474421e-08,1.44014632772265e-06,down,CXCL14
NM_005975,-3.22173167714802,1.57159947861145e-10,1.41921747084841e-08,down,PTK6
AW512196,-3.22040631312445,4.78600054509985e-16,1.37567288299757e-12,down,SERPINB1
AI656180,3.2171941685146,3.25743683551928e-09,1.3056661703702e-07,up,C3orf70
AB018580,-3.21501933459212,1.82102503300102e-06,2.50129879595787e-05,down,AKR1C3
AF096304,-3.21324784874833,2.23274749187712e-08,6.14292386770203e-07,down,TM7SF2
AI927208,-3.21217005456957,2.42153886581968e-10,1.95922225302237e-08,down,MMP28
AA553959,-3.20833746618709,5.41948170082938e-07,8.93911670575037e-06,down,C10orf99
BF056791,3.20787967389309,6.61569341302189e-14,5.31327741713771e-11,up,BRIP1
AI911434,3.20567653675832,6.67579663962599e-10,4.00294460411205e-08,up,MLF1
AW299828,-3.20430902099414,1.15913261188774e-12,4.65468450978127e-10,down,PLA2G4F
AK056784,-3.19510185146875,9.42680758618853e-11,1.00946322098924e-08,down,SH3PXD2A-AS1
AI559570,-3.1949224899808,2.88736849256795e-14,3.03245875931949e-11,down,ZNF506
NM_001928,-3.19419255559575,4.09190321782517e-11,5.68628779733043e-09,down,CFD
NM_016433,-3.1915495254043,1.50013315211687e-09,7.14658674434006e-08,down,GLTP
AW192795,-3.19145314210189,0.000676288389832395,0.0040463295313045,down,MUC5AC
M29873,-3.19122764184664,5.63678489227106e-05,0.000482132706846671,down,CYP2B7P
BE673226,-3.18867711274354,1.32425599434962e-11,2.55553330810656e-09,down,C15orf52
AL365406,3.18592918683064,1.71366552036277e-06,2.375340483847e-05,up,ZFR2
BF223023,-3.1738313795685,0.00116124660708978,0.00639822043512855,down,ESRG
AI341146,3.16407842925507,1.10773094186715e-09,5.73970682430652e-08,up,E2F7
AB033038,3.15465324709458,1.8936871364581e-09,8.58142526660208e-08,up,CCDC88A
AF009664,-3.15412666908594,2.18077291557586e-11,3.6421575302246e-09,down,PRSS2
AI754404,3.14974009250483,8.44926838548358e-09,2.79830136043914e-07,up,PLOD2
AA610122,3.14903470056185,4.15941688922471e-14,3.67439503187665e-11,up,BMP8B
AI023433,-3.14709532062509,3.13051369333372e-07,5.59740785084418e-06,down,GALNT5
AI301935,3.14638387071084,2.14766408596588e-09,9.51260168101011e-08,up,MS4A7
NM_025111,3.14374696909701,4.2701296222577e-07,7.29676436359074e-06,up,IQCG
BF343258,3.11724285378855,3.6967160656883e-11,5.29891744082506e-09,up,DDIAS
NM_005073,-3.1141114584748,5.17288299716612e-08,1.23635299397914e-06,down,SLC15A1
BF444916,3.1132621846841,1.41093310885661e-08,4.22613966040019e-07,up,FNDC3B
AA535917,-3.1108574477647,5.05253148409637e-10,3.24628119930536e-08,down,LOC100507487
M87789,3.11082025983184,0.00287286916805353,0.0135365056450046,ns,IGHG1
D13665,3.10930348093494,0.000215195571043599,0.00151860391800027,up,POSTN
BG168471,-3.10543613228986,5.46663724586794e-11,6.87901981356189e-09,down,MGLL
AI732617,-3.09490456947772,3.19633850551671e-05,0.00029682304846418,down,LOC102659288
NM_006984,-3.08551972023452,0.000284030899094939,0.00192908587144284,down,CLDN10
NM_002963,-3.08454689169382,0.0013735095287718,0.00736056087673576,down,S100A7
BG271923,3.07321979206799,2.39324352441855e-08,6.48003017347894e-07,up,GBP5
BC008840,-3.07139181996633,6.74194360510805e-14,5.33619950877922e-11,down,THSD4
BE502436,3.06985995417294,2.75343736256794e-09,1.14265558268939e-07,up,HENMT1
NM_003064,-3.06920536785408,7.11565077201678e-12,1.63969213338461e-09,down,SLPI
NM_005143,-3.06888120984077,8.55031013439404e-05,0.000688119786869528,down,HP
NM_005232,-3.06819494523545,2.53752669818243e-12,8.34830997396608e-10,down,EPHA1
H47630,-3.06702010293964,1.0437418809263e-08,3.31599042135124e-07,down,ZNF844
NM_006183,3.06631063818052,0.000127986334057918,0.000974448300837176,up,NTS
AK096707,-3.06546053476107,1.19467433908525e-08,3.69031389595377e-07,down,HOPX
AI816281,-3.0621480046223,2.16974249165561e-06,2.9229996301814e-05,down,ZNF677
NM_006551,-3.06184421373843,0.00260840909062179,0.0125090486183815,ns,SCGB1D2
BG498699,-3.06050660050037,1.09990582447733e-05,0.000118526355154263,down,PRAC1
NM_014875,3.05762678068685,8.77264594950049e-15,1.19173702895537e-11,up,KIF14
NM_004472,3.05676595026442,2.29151962278749e-10,1.88190618284651e-08,up,FOXD1
AA531023,-3.0483999362719,1.66366990147995e-08,4.84834601544955e-07,down,FAM46B
AB040957,3.04705006931808,6.74555487521057e-13,3.12199142711758e-10,up,KIAA1524
BC004399,-3.04255088617899,1.12006096573085e-10,1.14765271147202e-08,down,TTC39A
AF030514,3.04212934308054,2.26773788244939e-05,0.000221157087453944,up,CXCL11
NM_002448,-3.04110424037835,0.000231388004895465,0.00161533850330513,down,MSX1
AI344075,-3.04102860408757,3.42928435911863e-09,1.35418298412542e-07,down,GGT1
AW151360,3.03567023993624,2.78768790503271e-10,2.16255681189703e-08,up,TNFSF13B
NM_024307,-3.03533376938453,3.65752929521222e-09,1.42372521311066e-07,down,GDPD3
U65932,-3.03206498760882,5.17193800531087e-06,6.18334173126188e-05,down,ECM1
AW469523,-3.01185924245992,2.53034174722698e-08,6.7906414664033e-07,down,DGAT2
H07095,-3.01167190631362,6.97701749412568e-10,4.12314129499525e-08,down,TMEM229B
BE222843,-3.00764446580436,4.07362204524158e-05,0.000365608415376793,down,NA
AI590662,-3.00521775680981,2.56586799806207e-06,3.37012383304867e-05,down,FAM83A
NM_007115,3.00503347087286,2.24849872171857e-17,1.02331050574347e-13,up,TNFAIP6
U66061,-3.00318078972117,7.10242660205667e-08,1.61215637580266e-06,down,PRSS3P2
NM_006461,3.00047127751018,7.06560001077779e-14,5.40429361516011e-11,up,SPAG5
NM_018092,2.99896672589811,1.76554830045424e-09,8.1782772970914e-08,up,NETO2
