GB_ACC,logFC,P.Value,adj.P.Val,direction,Gene_Symbol
BE964704,-0.0821285592633032,0.729243771099464,0.81847495002416,ns,AP4E1
AI581344,-0.0820839791336034,0.00047343976986354,0.00298533265807153,ns,CT45A1
W72527,-0.082068048443686,0.806171484446294,0.873512183643921,ns,SLC1A4
AK025094,-0.0820554952223773,0.414243957025462,0.564998507155954,ns,ACTA2
AL136564,-0.0820538955675691,0.108317673100249,0.21864108075931,ns,L3MBTL2
NM_145286,-0.0820433422786482,0.016083985939474,0.0529887629916448,ns,STOML3
AL832561,0.0820286659590299,9.23376769279461e-06,0.000102123077158079,ns,NA
BC005343,-0.0820265743606776,0.238441019502078,0.385391085799136,ns,DNAL1
AU155187,0.0820157573427718,0.612035706018736,0.730986878642374,ns,WWP1
BG258784,-0.0820074612394439,0.702177505582866,0.799083561416901,ns,CAPRIN1
AL137414,-0.0819986413610492,0.000111372328925767,0.00086415494923656,ns,NA
BF229395,-0.0819981871587148,0.22589515375944,0.3707977527656,ns,EMC10
AA810258,0.0819851295399916,0.794746060391224,0.865610996692312,ns,NA
NM_080664,-0.0819717803077102,0.713925179899559,0.80735501728728,ns,DTD2
AL137512,-0.0819604682590223,0.392049144930413,0.545016671810733,ns,SYT9
BF060783,0.0819488755974693,0.429656003719606,0.579134766422461,ns,DLX1
BU740857,0.0819312188312868,0.0306663940885003,0.0859127824128074,ns,TFAP2A-AS1
NM_014311,0.0819306758921599,0.73253019524103,0.820965966605754,ns,SMUG1
AI149976,0.0819294356043523,0.101366802772503,0.208259167850977,ns,NA
NM_020152,0.0819222136313229,0.0487202646286692,0.121329676797333,ns,MAP3K7CL
BF194999,-0.0819168120926816,0.568882134541438,0.697037602389652,ns,MIR631
NM_018294,0.0819013974488456,0.354963164138112,0.509062348233364,ns,CWF19L1
NM_139057,-0.0818768222863659,8.27139841819526e-05,0.000668332418720073,ns,ADAMTS17
H11609,0.0818482279448003,0.122976828657236,0.239616320056262,ns,SRCIN1
BE311922,0.0818381900914242,0.419996871245926,0.570210538690244,ns,CDC42BPB
AA905217,0.0818177480353879,0.463343743458078,0.609235388503095,ns,ATP8B3
BC030096,-0.0817950277905033,0.0449346056463266,0.11411658264748,ns,NA
NM_000440,0.0817943337737157,0.138602415035329,0.261125075628689,ns,PDE6A
AW628656,-0.0817773914050428,0.102613972802262,0.210141626543046,ns,KCNH5
AW001754,-0.0817757459561013,0.0709530454823765,0.160662988221155,ns,NEGR1
AI823806,-0.0817728726485778,0.365962161020583,0.519677877735175,ns,SLC2A5
BC034623,0.0817559334878615,0.531839061640572,0.667095238249347,ns,LOC101929147
